,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
44,Imran Anwar (BAH),201902019,4,2,1,23,16*,23,22,104.54,0,0,0,2,0
45,RK Inampud (Mex),201902019,3,3,2,23,17*,23,28,82.14,0,0,0,0,1
46,B Kumar (INDIA),201202019,43,9,5,23,9,5.75,29,79.31,0,0,1,0,0
47,S Lamichhane (ICC/NEPAL),201802019,18,8,4,23,9,5.75,29,79.31,0,0,1,1,0
48,N Master (Botsw),201902019,2,2,0,23,21,11.5,18,127.77,0,0,0,4,0
49,T Panyangara (ZIM),201302016,14,5,4,23,17*,23,17,135.29,0,0,0,1,2
0,VM Sachdev (PNM),201902019,2,2,1,23,12*,23,31,74.19,0,0,0,2,0
1,Shafiul Islam (BDESH),201002019,17,6,1,23,16,4.6,33,69.69,0,0,1,1,1
2,S Sohal (USA),201902019,3,2,0,23,18,11.5,29,79.31,0,0,0,1,1
3,A Zampa (AUS),201602019,27,6,4,23,9,11.5,26,88.46,0,0,0,2,0
4,Zulqarnain Haider (PAK),200702010,3,3,0,23,17,7.66,30,76.66,0,0,0,1,0
5,Abdur Rehman (PAK),200702013,8,5,3,22,7*,11,29,75.86,0,0,0,0,0
6,DNA Ankrah (Ghana),201902019,4,3,0,22,12,7.33,43,51.16,0,0,0,2,0
7,SE Aquilina (MALTA),201902019,4,4,0,22,14,5.5,30,73.33,0,0,0,2,0
8,Z Arinaitwe (UGA),201902019,3,3,0,22,15,7.33,26,84.61,0,0,0,3,1
9,TA Boult (NZ),201302019,27,8,3,22,8,4.4,32,68.75,0,0,1,1,0
10,PC de Silva (SL),201702017,2,2,0,22,21,11,22,100,0,0,0,1,0
11,AB Dinda (INDIA),200902012,9,2,1,22,19,22,24,91.66,0,0,0,1,0
12,PJ Ingram (NZ),201002010,3,3,1,22,20*,11,35,62.85,0,0,1,3,0
13,M Morkel (SA/World),200702017,44,8,5,22,8*,7.33,18,122.22,0,0,0,3,1
14,AK Muslar (Blz),201902019,3,3,0,22,13,7.33,27,81.48,0,0,1,1,2
15,DP Nannes (AUS/NL),200902010,17,5,3,22,12*,11,18,122.22,0,0,0,1,1
16,FL Reifer (WI),200902009,1,1,0,22,22,22,20,110,0,0,0,2,1
17,Umair Ali (UAE),201502015,3,3,2,22,13,22,18,122.22,0,0,0,2,1
18,Abdullah Akbarjan (Aut),201902019,5,1,0,21,21,21,17,123.52,0,0,0,3,0
19,Anas Khan (HKG),201402014,1,1,1,21,21*,0,28,75,0,0,0,2,0
20,SE Bond (NZ),200502010,20,8,3,21,8*,4.2,21,100,0,0,2,2,0
21,BB Chari (ZIM),201902019,3,3,0,21,19,7,31,67.74,0,0,1,4,0
22,MR Gillespie (NZ),200602008,11,6,4,21,7,10.5,29,72.41,0,0,0,0,0
23,L Gregory (ENG),201902019,5,3,0,21,15,7,19,110.52,0,0,1,0,2
24,Imam0ul0Haq (PAK),201902019,2,2,0,21,14,10.5,25,84,0,0,0,2,0
25,Kamran Shazad (UAE),201402014,3,2,0,21,21,10.5,17,123.52,0,0,1,1,2
26,Karweng NG (PHI),201902019,4,3,0,21,14,7,30,70,0,0,0,0,1
27,LD Madushanka (SL),201902019,2,2,0,21,20,10.5,26,80.76,0,0,0,1,0
28,C Mahoney (Peru),201902019,3,1,0,21,21,21,27,77.77,0,0,0,1,0
29,AF Milne (NZ),201002018,21,8,8,21,10*,0,23,91.3,0,0,0,1,0
30,Mohammad Sami (PAK),201002016,13,4,3,21,8,21,30,70,0,0,0,2,0
31,S Murari (CRC),201902019,3,3,1,21,16,10.5,20,105,0,0,0,2,0
32,Rony Talukdar (BDESH),201502015,1,1,0,21,21,21,22,95.45,0,0,0,0,1
33,Shoaib Akhtar (PAK),200602010,15,6,3,21,8*,7,16,131.25,0,0,1,2,1
34,SJS Smith (SCOT),201002012,5,4,1,21,9,7,40,52.5,0,0,1,1,0
35,SF Tiai (Samoa),201902019,4,3,0,21,11,7,22,95.45,0,0,1,2,0
36,E Ul Haq (NOR),201902019,5,5,0,21,10,4.2,36,58.33,0,0,0,2,0
37,Ainool Haqqiem (MAL),201902019,4,2,1,20,12,20,20,100,0,0,0,1,0
38,RL Bhudia (KENYA),200702007,3,3,1,20,11*,10,20,100,0,0,1,0,2
39,KK Flowers (Blz),201902019,3,3,1,20,17,10,33,60.6,0,0,1,3,0
