,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
22,L Nussbaumer (GUE),201902019,1,1,0,0,0,0,1,0,0,0,1,0,0
23,A Orfila (GIBR),201902019,1,1,0,0,0,0,2,0,0,0,1,0,0
24,MM Patel (INDIA),201102011,3,1,0,0,0,0,1,0,0,0,1,0,0
25,PDRL Perera (SL),200602006,2,2,2,0,0*,0,0,0,0,0,0,0,0
26,T Phaswana (Botsw),201902019,1,1,0,0,0,0,3,0,0,0,1,0,0
27,Rahman Ademi (Serb),201902019,2,1,1,0,0*,0,4,0,0,0,0,0,0
28,DM Richards (WI),200902009,1,1,0,0,0,0,1,0,0,0,1,0,0
29,R Rivas (Chile),201902019,3,1,0,0,0,0,1,0,0,0,1,0,0
30,Rumman Raees (PAK),201602018,8,1,1,0,0*,0,0,0,0,0,0,0,0
31,NA Saini (INDIA),201902019,5,1,1,0,0*,0,1,0,0,0,0,0,0
32,Sajid Liaqat (GER),201902019,2,1,1,0,0*,0,0,0,0,0,0,0,0
33,K Santokie (WI),201102014,12,1,1,0,0*,0,0,0,0,0,0,0,0
34,I Sawmy (DEN),201902019,2,2,1,0,0*,0,2,0,0,0,1,0,0
35,Shaheen Shah Afridi (PAK),201802019,10,1,1,0,0*,0,2,0,0,0,0,0,0
36,A Shahzad (ENG),201002011,3,1,1,0,0*,0,3,0,0,0,0,0,0
37,Shakeel Ansar (PAK),201202012,2,1,0,0,0,0,1,0,0,0,1,0,0
38,T Shamsi (SA),201702019,16,3,2,0,0*,0,5,0,0,0,1,0,0
39,B Shikongo (NAM),201902019,11,1,0,0,0,0,1,0,0,0,1,0,0
40,BA Simango (Moz),201902019,2,1,0,0,0,0,2,0,0,0,1,0,0
41,M Simmons (BMUDA),201902019,2,1,0,0,0,0,2,0,0,0,1,0,0
42,M Simpson0Parker (Aut),201902019,3,1,0,0,0,0,2,0,0,0,1,0,0
43,MS Sinclair (NZ),200502007,2,2,0,0,0,0,5,0,0,0,2,0,0
44,S Singh (PORT),201902019,1,1,0,0,0,0,9,0,0,0,1,0,0
45,L Sipamla (SA),201902019,5,1,0,0,0,0,1,0,0,0,1,0,0
46,S Soosiyakumar (),201902019,1,1,0,0,0,0,2,0,0,0,1,0,0
47,ES Soto (CRC),201902019,1,1,0,0,0,0,2,0,0,0,1,0,0
48,L Sreekumar (UAE),201702017,1,1,0,0,0,0,1,0,0,0,1,0,0
49,H Ssenyondo (UGA),201902019,4,1,1,0,0*,0,0,0,0,0,0,0,0
0,Taijul Islam (BDESH),201902019,2,1,1,0,0*,0,1,0,0,0,0,0,0
1,Ziaur Rehman (Fin),201902019,1,1,0,0,0,0,4,0,0,0,1,0,0
2,M Zondeki (SA),200602006,1,1,0,0,0,0,1,0,0,0,1,0,0
3,Zulqarnain Haider (ESP),201902019,5,1,0,0,0,0,0,0,0,0,1,0,0
4,YA Abdulla (SA),200902009,2,0,0,0,0,0,0,0,0,0,0,0,0
5,Abdur Rauf (PAK),200802008,1,0,0,0,0,0,0,0,0,0,0,0,0
6,RA Abolarin (NGA),201902019,1,0,0,0,0,0,0,0,0,0,0,0,0
7,F Achelam (UGA),201902019,1,0,0,0,0,0,0,0,0,0,0,0,0
8,GW Aldridge (NZ),201102011,1,0,0,0,0,0,0,0,0,0,0,0,0
9,TR Ambrose (ENG),200802008,1,0,0,0,0,0,0,0,0,0,0,0,0
10,A Anemogiannis (),201902019,1,0,0,0,0,0,0,0,0,0,0,0,0
11,S Aravind (INDIA),201502015,1,0,0,0,0,0,0,0,0,0,0,0,0
12,JC Archer (ENG),201902019,1,0,0,0,0,0,0,0,0,0,0,0,0
13,Arsalan Qadir (CAN),201002010,1,0,0,0,0,0,0,0,0,0,0,0,0
14,Asad Ali (PAK),201302013,2,0,0,0,0,0,0,0,0,0,0,0,0
15,Atif Ali Khan (UAE),201602016,1,0,0,0,0,0,0,0,0,0,0,0,0
16,P Awana (INDIA),201202012,2,0,0,0,0,0,0,0,0,0,0,0,0
17,LS Baker (WI),200802009,3,0,0,0,0,0,0,0,0,0,0,0,0
18,L Balaji (INDIA),201202012,5,0,0,0,0,0,0,0,0,0,0,0,0
19,JT Ball (ENG),201802018,2,0,0,0,0,0,0,0,0,0,0,0,0
20,S Bantzas (),201902019,1,0,0,0,0,0,0,0,0,0,0,0,0
21,TC Bastiampillai (CAN),201002010,2,0,0,0,0,0,0,0,0,0,0,0,0
22,MD Bates (NZ),201202012,3,0,0,0,0,0,0,0,0,0,0,0,0
23,D Bau (PNG),201702017,1,0,0,0,0,0,0,0,0,0,0,0,0
24,JP Behrendorff (AUS),201702019,7,0,0,0,0,0,0,0,0,0,0,0,0
25,CC Blake (VAN),201902019,3,0,0,0,0,0,0,0,0,0,0,0,0
26,N Boje (SA),200502005,1,0,0,0,0,0,0,0,0,0,0,0,0
27,SM Boland (AUS),201602016,3,0,0,0,0,0,0,0,0,0,0,0,0
28,CG Burnett (SCOT),201302013,1,0,0,0,0,0,0,0,0,0,0,0,0
29,DK Butler (WI),200602006,1,0,0,0,0,0,0,0,0,0,0,0,0
30,RD Chahar (INDIA),201902019,1,0,0,0,0,0,0,0,0,0,0,0,0
31,N Chejay (BHU),201902019,1,0,0,0,0,0,0,0,0,0,0,0,0
32,C Chete (MWI),201902019,2,0,0,0,0,0,0,0,0,0,0,0,0
33,SR Clark (AUS),200602007,9,0,0,0,0,0,0,0,0,0,0,0,0
34,MS Crane (ENG),201702017,2,0,0,0,0,0,0,0,0,0,0,0,0
35,D Daesrath (CAN),201302013,1,0,0,0,0,0,0,0,0,0,0,0,0
36,M de Lange (SA),201202015,6,0,0,0,0,0,0,0,0,0,0,0,0
37,SI de Saram (SL),200902009,1,0,0,0,0,0,0,0,0,0,0,0,0
38,BJ Diamanti (NZ),200902009,1,0,0,0,0,0,0,0,0,0,0,0,0
39,V Dikov (),201902019,3,0,0,0,0,0,0,0,0,0,0,0,0
40,K Dorji (BHU),201902019,2,0,0,0,0,0,0,0,0,0,0,0,0
41,PS Eaglestone (IRE),201002010,1,0,0,0,0,0,0,0,0,0,0,0,0
42,BT Foakes (ENG),201902019,1,0,0,0,0,0,0,0,0,0,0,0,0
43,BC Fortuin (SA),201902019,2,0,0,0,0,0,0,0,0,0,0,0,0
44,O Fournier (CRC),201902019,2,0,0,0,0,0,0,0,0,0,0,0,0
45,R Frylinck (SA),201702018,3,0,0,0,0,0,0,0,0,0,0,0,0
46,ST Gabriel (WI),201302013,2,0,0,0,0,0,0,0,0,0,0,0,0
47,Garret Banner (Blz),201902019,1,0,0,0,0,0,0,0,0,0,0,0,0
48,B Geeves (AUS),200902009,1,0,0,0,0,0,0,0,0,0,0,0,0
49,S Goud (CZK0R),201902019,1,0,0,0,0,0,0,0,0,0,0,0,0
0,D Gough (ENG),200502006,2,0,0,0,0,0,0,0,0,0,0,0,0
1,HF Gurney (ENG),201402014,2,0,0,0,0,0,0,0,0,0,0,0,0
2,Hamza Tahir (SCOT),201802019,11,0,0,0,0,0,0,0,0,0,0,0,0
3,SJ Harmison (ENG),200502006,2,0,0,0,0,0,0,0,0,0,0,0,0
4,RJ Hatchman (GIBR),201902019,1,0,0,0,0,0,0,0,0,0,0,0,0
5,JR Hazlewood (AUS),201302016,7,0,0,0,0,0,0,0,0,0,0,0,0
6,J Hurley (Arg),201902019,3,0,0,0,0,0,0,0,0,0,0,0,0
7,Ibrahim Khan (Saudi),201902019,1,0,0,0,0,0,0,0,0,0,0,0,0
8,Iftikhar Anjum (PAK),200702009,2,0,0,0,0,0,0,0,0,0,0,0,0
9,Imran Ashraf (QAT),201902019,3,0,0,0,0,0,0,0,0,0,0,0,0
10,D Jakiel (ZIM),201902019,2,0,0,0,0,0,0,0,0,0,0,0,0
11,Joginder Sharma (INDIA),200702007,4,0,0,0,0,0,0,0,0,0,0,0,0
12,GJ Joseph (Blz),201902019,1,0,0,0,0,0,0,0,0,0,0,0,0
13,Jubair Hossain (BDESH),201502015,1,0,0,0,0,0,0,0,0,0,0,0,0
14,TP Kamungozi (ZIM),201402014,1,0,0,0,0,0,0,0,0,0,0,0,0
15,M Kartik (INDIA),200702007,1,0,0,0,0,0,0,0,0,0,0,0,0
16,S Kaul (INDIA),201802019,3,0,0,0,0,0,0,0,0,0,0,0,0
17,UKPW Kumaranayaka (KUW),201902019,3,0,0,0,0,0,0,0,0,0,0,0,0
18,B Laughlin (AUS),200902013,3,0,0,0,0,0,0,0,0,0,0,0,0
19,E Leie (SA),201502015,2,0,0,0,0,0,0,0,0,0,0,0,0
20,RDM Leverock (BMUDA),200802008,2,0,0,0,0,0,0,0,0,0,0,0,0
21,ML Lewis (AUS),200602006,2,0,0,0,0,0,0,0,0,0,0,0,0
22,DSK Madushanka (SL),201802018,2,0,0,0,0,0,0,0,0,0,0,0,0
23,GT Main (SCOT),201502016,4,0,0,0,0,0,0,0,0,0,0,0,0
24,Mansoor Amjad (PAK),200802008,1,0,0,0,0,0,0,0,0,0,0,0,0
25,M Markande (INDIA),201902019,1,0,0,0,0,0,0,0,0,0,0,0,0
26,A Martin (WI),201102011,1,0,0,0,0,0,0,0,0,0,0,0,0
27,B Masaba (UGA),201902019,1,0,0,0,0,0,0,0,0,0,0,0,0
28,WT Mashinge (ZIM),201902019,2,0,0,0,0,0,0,0,0,0,0,0,0
29,GJ McCarter (IRE),201502015,3,0,0,0,0,0,0,0,0,0,0,0,0
30,SC Meaker (ENG),201202012,2,0,0,0,0,0,0,0,0,0,0,0,0
31,Mihusan Hamid (Mald),201902019,1,0,0,0,0,0,0,0,0,0,0,0,0
32,Mohammad Shahid (BDESH),201602016,1,0,0,0,0,0,0,0,0,0,0,0,0
33,Mohammed Shami (INDIA),201402019,8,0,0,0,0,0,0,0,0,0,0,0,0
34,Mohammed Siraj (INDIA),201702018,3,0,0,0,0,0,0,0,0,0,0,0,0
35,GMC Mol (NL),200802008,1,0,0,0,0,0,0,0,0,0,0,0,0
36,Muhammad Amir (MAL),201902019,1,0,0,0,0,0,0,0,0,0,0,0,0
37,Muhammad Musa (PAK),201902019,1,0,0,0,0,0,0,0,0,0,0,0,0
38,Mukhtiar Singh (ESP),201902019,2,0,0,0,0,0,0,0,0,0,0,0,0
39,Musawar Shah (QAT),201902019,2,0,0,0,0,0,0,0,0,0,0,0,0
40,M Mwamadi (MWI),201902019,3,0,0,0,0,0,0,0,0,0,0,0,0
41,M Nandela (Mex),201902019,2,0,0,0,0,0,0,0,0,0,0,0,0
42,Nasir Aziz (UAE),201502015,1,0,0,0,0,0,0,0,0,0,0,0,0
43,NH Naureen (ESP),201902019,1,0,0,0,0,0,0,0,0,0,0,0,0
44,Nawazish Jezuli (Saudi),201902019,1,0,0,0,0,0,0,0,0,0,0,0,0
45,P Negi (INDIA),201602016,1,0,0,0,0,0,0,0,0,0,0,0,0
46,A Neill (SCOT),201902019,5,0,0,0,0,0,0,0,0,0,0,0,0
47,R Ngarava (ZIM),201902019,1,0,0,0,0,0,0,0,0,0,0,0,0
48,G Nikitas (),201902019,2,0,0,0,0,0,0,0,0,0,0,0,0
49,F Nkhoma (MWI),201902019,4,0,0,0,0,0,0,0,0,0,0,0,0
0,A Nortje (SA),201902019,1,0,0,0,0,0,0,0,0,0,0,0,0
1,IE O'Brien (NZ),200902009,4,0,0,0,0,0,0,0,0,0,0,0,0
2,E Ochieng (KENYA),201902019,2,0,0,0,0,0,0,0,0,0,0,0,0
3,RJG Palmer (JER),201902019,2,0,0,0,0,0,0,0,0,0,0,0,0
4,MA Parker (SCOT),201202012,2,0,0,0,0,0,0,0,0,0,0,0,0
5,MW Parkinson (ENG),201902019,2,0,0,0,0,0,0,0,0,0,0,0,0
6,AY Patel (NZ),201802018,2,0,0,0,0,0,0,0,0,0,0,0,0
7,J Perman (ESP),201902019,2,0,0,0,0,0,0,0,0,0,0,0,0
8,V Permaul (WI),201802018,1,0,0,0,0,0,0,0,0,0,0,0,0
9,R Pisal (ROM),201902019,1,0,0,0,0,0,0,0,0,0,0,0,0
10,KTGD Prasad (SL),201102011,1,0,0,0,0,0,0,0,0,0,0,0,0
11,M Pushpakumara (SL),200902009,1,0,0,0,0,0,0,0,0,0,0,0,0
12,S Qeshile (SA),201902019,2,0,0,0,0,0,0,0,0,0,0,0,0
13,Raja Adeel (ESP),201902019,3,0,0,0,0,0,0,0,0,0,0,0,0
14,Rashid Khan (NEPAL),201902019,1,0,0,0,0,0,0,0,0,0,0,0,0
15,KA Reynolds (Blz),201902019,3,0,0,0,0,0,0,0,0,0,0,0,0
16,Robiul Islam (BDESH),201302013,1,0,0,0,0,0,0,0,0,0,0,0,0
17,Rokhan Barakzai (AFG),201502015,3,0,0,0,0,0,0,0,0,0,0,0,0
18,AK Sah (NEPAL),201802018,1,0,0,0,0,0,0,0,0,0,0,0,0
19,Sajedul Islam (BDESH),201302013,1,0,0,0,0,0,0,0,0,0,0,0,0
20,Saqlain Sajib (BDESH),201602016,1,0,0,0,0,0,0,0,0,0,0,0,0
21,JD Schoonheim (NL),200802008,1,0,0,0,0,0,0,0,0,0,0,0,0
22,K Senamontree (THAI),201902019,2,0,0,0,0,0,0,0,0,0,0,0,0
23,Shabbir Ahmed (PAK),200702007,1,0,0,0,0,0,0,0,0,0,0,0,0
24,Shaffeq Muhammad (),201902019,2,0,0,0,0,0,0,0,0,0,0,0,0
25,Sharif Asadullah (UAE),201402014,1,0,0,0,0,0,0,0,0,0,0,0,0
26,KV Sharma (INDIA),201402014,1,0,0,0,0,0,0,0,0,0,0,0,0
27,R Sharma (INDIA),201202012,2,0,0,0,0,0,0,0,0,0,0,0,0
28,NK Shetty (Mex),201902019,2,0,0,0,0,0,0,0,0,0,0,0,0
29,S Singh (PHI),201902019,4,0,0,0,0,0,0,0,0,0,0,0,0
30,Soheel Hussain (Belg),201902019,1,0,0,0,0,0,0,0,0,0,0,0,0
31,BB Sran (INDIA),201602016,2,0,0,0,0,0,0,0,0,0,0,0,0
32,H Srinivasan (GER),201902019,1,0,0,0,0,0,0,0,0,0,0,0,0
33,TJ Stephenson (Blz),201902019,1,0,0,0,0,0,0,0,0,0,0,0,0
34,P Syafiq Ali (MAL),201902019,2,0,0,0,0,0,0,0,0,0,0,0,0
35,Tanvir Ahmed (PAK),201002010,1,0,0,0,0,0,0,0,0,0,0,0,0
36,SN Thakur (INDIA),201802018,7,0,0,0,0,0,0,0,0,0,0,0,0
37,J Thinley (BHU),201902019,2,0,0,0,0,0,0,0,0,0,0,0,0
38,AC Thomas (SA),200702007,1,0,0,0,0,0,0,0,0,0,0,0,0
39,DC Thomas (WI),200902013,3,0,0,0,0,0,0,0,0,0,0,0,0
40,GC Tonge (WI),200902009,1,0,0,0,0,0,0,0,0,0,0,0,0
41,CT Tremlett (ENG),200702007,1,0,0,0,0,0,0,0,0,0,0,0,0
42,S Tyagi (INDIA),200902009,1,0,0,0,0,0,0,0,0,0,0,0,0
43,JD Unadkat (INDIA),201602018,10,0,0,0,0,0,0,0,0,0,0,0,0
44,MB van Schelven (NL),201502015,2,0,0,0,0,0,0,0,0,0,0,0,0
45,Vichanath Singh (THAI),201902019,4,0,0,0,0,0,0,0,0,0,0,0,0
46,DJ Vilas (SA),201202012,1,0,0,0,0,0,0,0,0,0,0,0,0
47,Vimal Kumar (PHI),201902019,2,0,0,0,0,0,0,0,0,0,0,0,0
48,Vishal Ahir (PNM),201902019,1,0,0,0,0,0,0,0,0,0,0,0,0
49,Waqas Maqsood (PAK),201802018,1,0,0,0,0,0,0,0,0,0,0,0,0
0,SR Welsh (CAN),200802008,1,0,0,0,0,0,0,0,0,0,0,0,0
1,SG Whittingham (SCOT),201802018,3,0,0,0,0,0,0,0,0,0,0,0,0
2,LJ Woodcock (NZ),201002011,3,0,0,0,0,0,0,0,0,0,0,0,0
3,Zamir Khan (AFG),201202012,1,0,0,0,0,0,0,0,0,0,0,0,0
4,S Zargar (Mex),201902019,1,0,0,0,0,0,0,0,0,0,0,0,0
5,Ziaur Rahman (AFG),201902019,1,0,0,0,0,0,0,0,0,0,0,0,0
